iso_code,location,total_cases,population,percent_infected
AND,Andorra,12010.0,77265.0,15.54
MNE,Montenegro,91218.0,628062.0,14.52
CZE,Czechia,1532332.0,1.0708982E7,14.31
SMR,San Marino,4730.0,33938.0,13.94
SVN,Slovenia,215602.0,2078932.0,10.37
LUX,Luxembourg,61642.0,625976.0,9.85
ISR,Israel,833105.0,8655541.0,9.63
USA,United States,3.046221E7,3.31002647E8,9.2
SRB,Serbia,600596.0,6804596.0,8.83
BHR,Bahrain,144445.0,1701583.0,8.49
PAN,Panama,355051.0,4314768.0,8.23
PRT,Portugal,821722.0,1.0196707E7,8.06
EST,Estonia,106424.0,1326539.0,8.02
SWE,Sweden,804886.0,1.009927E7,7.97
LTU,Lithuania,216119.0,2722291.0,7.94
